Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR030867	2011-03-17	2014-05-30	73773895	7377389500	0	100	4119		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030867	ERX011190	HCT20172	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025087	SAMEA962346	simple	9606	Homo sapiens	E-MTAB-513:HCT20172	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	48265A4BF066D73C70117DB199B32B3F	0A8AE5C2C7C16E2FF182E0CC5C6A951C
ERR030872	2011-03-17	2014-05-30	81912887	8191288700	81912887	100	3890		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030872	ERX011194	HCT20152	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	263	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025090	SAMEA962332	simple	9606	Homo sapiens	E-MTAB-513:HCT20152	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	ED32EE2C5A90A3AAEBEA691FE32B5D00	4A5E1341BE708AD257289FBA41750725
ERR030873	2011-03-17	2014-05-30	81836199	8183619900	81836199	100	4428		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030873	ERX011203	HCT20151	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	263	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025094	SAMEA962333	simple	9606	Homo sapiens	E-MTAB-513:HCT20151	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	DD563204CD71E0E40B27208C96434DF7	B74FAA34D20CEB7327979AD71B1D6E87
ERR030874	2011-03-17	2014-05-30	80946260	8094626000	80946260	100	4339		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030874	ERX011184	HCT20150	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	237	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025083	SAMEA962350	simple	9606	Homo sapiens	E-MTAB-513:HCT20150	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	7679BCA65911E2822A28E8D6ED691DDC	F113410070D3CC31D4DD7229F2663978
ERR030877	2011-03-17	2014-05-30	82334076	8233407600	82334076	100	4076		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030877	ERX011205	HCT20147	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	218	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025095	SAMEA962334	simple	9606	Homo sapiens	E-MTAB-513:HCT20147	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	A08641D2785BE3D24864259C5684FE46	2571C57453951D1BBAFAE8E8E7C0B613
ERR030879	2011-03-17	2014-05-30	79296905	7929690500	79296905	100	3989		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030879	ERX011227	HCT20145	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	181	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025099	SAMEA962338	simple	9606	Homo sapiens	E-MTAB-513:HCT20145	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	9340E8F8B8EEAC1D32F0670CFA6C1054	4FDA11027E916ADCE49B4D7BDD4478D4
ERR030884	2011-03-17	2014-05-30	82437443	8243744300	82437443	100	4258		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030884	ERX011204	HCT20162	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	180	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025089	SAMEA962341	simple	9606	Homo sapiens	E-MTAB-513:HCT20162	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	6D58AFA9B8CCF29C45BBC8EA53D76B33	BED59C099D9A41667D88961806BA1B3E
ERR030887	2011-03-17	2014-05-30	80048623	8004862300	80048623	100	4023		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030887	ERX011229	HCT20144	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	174	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025096	SAMEA962335	simple	9606	Homo sapiens	E-MTAB-513:HCT20144	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	10C966E889FFA9F3B31A50331B22FAED	1D0E111C53E7ED4CE85F7D59CEB80711
ERR030892	2011-03-17	2014-05-30	80257757	6019331775	0	75	4305		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030892	ERX011192	HCT20162	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025089	SAMEA962341	simple	9606	Homo sapiens	E-MTAB-513:HCT20162	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	B16629CF92216E90F19D8E08BE010C95	518AD32084A43A7C012A4BF0A78D03D6
ERR030895	2011-03-17	2014-05-30	77453877	5809040775	0	75	4107		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030895	ERX011211	HCT20144	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025096	SAMEA962335	simple	9606	Homo sapiens	E-MTAB-513:HCT20144	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	627B098121F2DE304562819AFD4EFF1D	8EE667262FA5FF8752B151D006FFD3CD
ERR030896	2011-03-17	2014-05-30	81255438	6094157850	0	75	4185		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030896	ERX011222	HCT20145	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025099	SAMEA962338	simple	9606	Homo sapiens	E-MTAB-513:HCT20145	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	19D7D75ACE8B56314125C9EA3DB656DD	74967599A8F8CDAE4C7AF190924A16F9
ERR030898	2011-03-17	2014-05-30	83319902	6248992650	0	75	4343		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030898	ERX011214	HCT20147	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025095	SAMEA962334	simple	9606	Homo sapiens	E-MTAB-513:HCT20147	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	3B9FDEA62AF8038B8BAD9084A00690D4	3622DE34815BBABA0C3BC22AA02F302E
ERR030900	2011-03-17	2014-05-30	82785673	6208925475	0	75	4353		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030900	ERX011208	HCT20149	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025091	SAMEA962336	simple	9606	Homo sapiens	E-MTAB-513:HCT20149	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	B29D4A91D26A6EDE08CBA0E4D3C2CED4	D57B7D42DCA3CA1E94E9F1184BFDBC1A
ERR030901	2011-03-17	2014-05-30	81003052	6075228900	0	75	4176		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030901	ERX011196	HCT20150	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025083	SAMEA962350	simple	9606	Homo sapiens	E-MTAB-513:HCT20150	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	17F235DE98044A344CA0C2A2DE24935B	72173C38B39FFAE485921EA651AB5408
ERR030902	2011-03-17	2014-05-30	82044319	6153323925	0	75	4329		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030902	ERX011202	HCT20151	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025094	SAMEA962333	simple	9606	Homo sapiens	E-MTAB-513:HCT20151	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	E8F3134340D79507AD72F8C16F120336	8567646B7DFF0D82006D4368A2707412
ERR030903	2011-03-17	2014-05-30	80246657	6018499275	0	75	4145		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030903	ERX011213	HCT20152	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025090	SAMEA962332	simple	9606	Homo sapiens	E-MTAB-513:HCT20152	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	ACA114613CB5A11B8FB569BEF200D30A	364B694C2090076CBEBF0635968BA7DD
ERR1059178	2015-10-30	2015-12-08	60998998	12321797596	60998998	202	5650		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059178	ERX1139365	Sample 3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	101	1	ILLUMINA	Illumina HiSeq 1500	ERP012768	PRJEB11386	NA	300637	ERS905323	SAMEA3598174	simple	9606	Homo sapiens	human	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	ACTREC	ERA524004	NA	public	30027DA2CA925470CED7A02A54EBFB2C	1DD81E405741D57836DD930D62DA134D
ERR1203458	2016-01-13	2016-02-27	51581945	7737291750	51581945	150	1328	GRCh37	https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1203458	ERX1275700	14866998	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	ERP007111	PRJEB7388	NA	281189	ERS1148694	SAMEA2658090	simple	9606	Homo sapiens	43fc70cd-568a-4dfe-a3ec-1e5ca753883f	NA	NA	NA	NA		NA	no	NA	NA	NA		THE WELLCOME TRUST SANGER INSTITUTE	ERA552056	NA	public	D6185EFC632A22BFB6D4CCCE78D6F6CB	0F9ABB378868C7BD51C244006D99D9D2
ERR1212563	2016-12-21	2016-12-23	70279804	14055960800	70279804	200	7175	GRCh37	https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1212563	ERX1284797	RH30 control siRNA replicate 					NA	NA					NA	NA				NA			NA	NA	NA	NA		NA		NA	NA	NA	NA			NA			
ERR1216917	2016-01-20	2016-02-27	56592567	8488885050	56592567	150	1473	GRCh37	https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1216917	ERX1289130	14766965	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550	0	ILLUMINA	Illumina HiSeq 2000	ERP011057	PRJEB9906	NA	309252	ERS793070	SAMEA3485787	simple	9606	Homo sapiens	human	NA	NA	NA	NA		NA	no	NA	NA	NA		THE WELLCOME TRUST SANGER INSTITUTE	ERA553520	NA	public	D711A9221AE78AD96CFE2B937A654AA2	239996A34BA25D137FAEF24707716F1F
ERR1243461	2016-02-03	2016-02-27	60496453	9074467950	60496453	150	1651	GRCh37	https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1243461	ERX1315399	14866998	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	ERP007111	PRJEB7388	NA	281189	ERS1148694	SAMEA2658090	simple	9606	Homo sapiens	43fc70cd-568a-4dfe-a3ec-1e5ca753883f	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE WELLCOME TRUST SANGER INSTITUTE	ERA560698	NA	public	7A11F5E70A0326075637ED31A8EE5BE3	7C30C8A96FE44E9E1F770F395639D8A4
ERR1260460	2016-02-15	2016-02-15	72526818	14505363600	72526818	200	8695		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1260460	ERX1332067	unspecified	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP001752	PRJEB3233	NA	306434	ERS1058979	SAMEA3871845	simple	9606	Homo sapiens	human	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	ICL-SC	ERA563750	NA	public	8F53E7EA3EA33747AEB365E06CD918CB	5764B5FBA7F2480DC3199471985D1976
ERR1260461	2016-02-15	2016-02-24	72916034	14583206800	72916034	200	8349		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1260461	ERX1332068	unspecified	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP001752	PRJEB3233	NA	306434	ERS1058980	SAMEA3871846	simple	9606	Homo sapiens	human	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	ICL-SC	ERA563750	NA	public	DA2CD85797688AF5D6265BE210825AAE	8BD3B7DE9A4889F9F36287F9CBAA3143
ERR1260463	2016-02-15	2016-02-15	62466932	12493386400	62466932	200	7273		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1260463	ERX1332070	unspecified	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP001752	PRJEB3233	NA	306434	ERS1058982	SAMEA3871848	simple	9606	Homo sapiens	human	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	ICL-SC	ERA563750	NA	public	3F8C99FA32AC76FD91F78C4F0E1FB434	7EF81F7E2DB4277AB0B9A452CB88D89E
ERR1260464	2016-02-15	2016-02-15	71746983	14349396600	71746983	200	8396		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1260464	ERX1332071	unspecified	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP001752	PRJEB3233	NA	306434	ERS1058983	SAMEA3871849	simple	9606	Homo sapiens	human	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	ICL-SC	ERA563750	NA	public	506704743879E26515015D2F9CFB29B2	9C2F1C0F8579D64BBFC26E6E8E5654E2
ERR1260465	2016-02-15	2016-02-15	80096632	16019326400	80096632	200	9629		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1260465	ERX1332072	unspecified	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP001752	PRJEB3233	NA	306434	ERS1058984	SAMEA3871850	simple	9606	Homo sapiens	human	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	ICL-SC	ERA563750	NA	public	9B4F7F9CE90669BE5E340F3A043779B9	BFCC8CA004B8AAA2531C1A118FA7BCF2
ERR1260467	2016-02-15	2016-02-15	67999973	13599994600	67999973	200	7939		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1260467	ERX1332074	unspecified	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP001752	PRJEB3233	NA	306434	ERS1058985	SAMEA3871851	simple	9606	Homo sapiens	human	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	ICL-SC	ERA563750	NA	public	BC862EDBDE5DDCAA69F2B5A72CA89F2A	62E57C91D37B270F18EE856A24B7A4D2
ERR1260468	2016-02-15	2016-02-15	79123993	15824798600	79123993	200	9242		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1260468	ERX1332075	unspecified	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	ERP001752	PRJEB3233	NA	306434	ERS1058984	SAMEA3871850	simple	9606	Homo sapiens	human	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	ICL-SC	ERA563750	NA	public	129D7575F74458D34680CA3D73789B40	F9B1DD0C1D98D3CA36C28213BCF040F0
ERR1299342	2017-02-03	2017-02-03	55243649	4171565881	0	75	1592		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1299342	ERX1371005	Non transfected 					NA	NA					NA	NA				NA			NA	NA	NA	NA		NA		NA	NA	NA				NA			
ERR1377162	2016-05-07	2016-05-08	95934359	9689370259	0	101	6934		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1377162	ERX1448288	grs_62_mal_sho_049	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP015294	PRJEB13731	NA	320946	ERS1127515	SAMEA3940381	simple	9606	Homo sapiens	human	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Thorsten Wachtmeister	ERA610036	NA	public	BBF51B3B4CA131EB9D9CC11AEF8B953F	6F6CAE23DAB78381871CFC52021B32BF
ERR1377165	2016-05-07	2016-05-08	65649194	6630568594	0	101	3522		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1377165	ERX1448291	grs_65_fem_sho_038	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP015294	PRJEB13731	NA	320946	ERS1127518	SAMEA3940384	simple	9606	Homo sapiens	human	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Thorsten Wachtmeister	ERA610036	NA	public	958A8286C37C707F8BFF1AD4B9A0AD6C	F678CAAD124070E7A535DB9A9D50262D
ERR1377167	2016-05-07	2016-05-08	94778091	9572587191	0	101	6879		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1377167	ERX1448293	grs_65_mal_sho_051	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP015294	PRJEB13731	NA	320946	ERS1127520	SAMEA3940386	simple	9606	Homo sapiens	human	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Thorsten Wachtmeister	ERA610036	NA	public	92E92B5699D1E61C1ECE3E0B207018D2	17ADC3A61E480C5765FEB288A6C7E549
ERR1377168	2016-05-07	2016-05-08	69106826	6979789426	0	101	3616		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1377168	ERX1448294	grs_66_fem_bks_039	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP015294	PRJEB13731	NA	320946	ERS1127521	SAMEA3940387	simple	9606	Homo sapiens	human	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Thorsten Wachtmeister	ERA610036	NA	public	16D754FB4309D1B8DBEAF0A09A2AFFC0	D6BBC60820615B37B2BEAE6C412383D1
ERR1377169	2016-05-07	2016-05-08	63849887	6448838587	0	101	3387		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR1377169	ERX1448295	grs_66_fem_sho_040	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP015294	PRJEB13731	NA	320946	ERS1127522	SAMEA3940388	simple	9606	Homo sapiens	human	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Thorsten Wachtmeister	ERA610036	NA	public	64ACE5A48E81B3D8BD1CAC1131031C04	942C0220A475666F6973CE41C0F81957
